hazard,feedback_fraction,feedback_delay,selector_mode,n_seeds,mean_accuracy,sd_accuracy,mean_dynamic_regret,mean_switch_latency,mean_false_switch_rate,mean_context_nll,mean_context_brier,expected_feedback_per_dwell,delay_fraction_of_expected_dwell
0.01,0.03125,0,bayes_reward_filter,30,0.7745279947916667,0.010346838510846697,0.12351888020833333,10.866666666666667,0.0077012035568202,0.6429701444247987,0.22599048681988962,3.125,0.0
0.01,0.03125,0,credit_shuffled_local,30,0.7381754557291667,0.013313239971006084,0.15987141927083334,1.0166666666666666,0.015738739273929433,1.0219987779404611,0.36475010190273577,3.125,0.0
0.01,0.03125,0,cumulative_sample_average,30,0.7608072916666667,0.016263470585268634,0.13723958333333333,7.266666666666667,0.0009701475083264334,2.1110670737794117,0.39675827365037913,3.125,0.0
0.01,0.03125,0,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,3.125,0.0
0.01,0.03125,0,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,3.125,0.0
0.01,0.03125,0,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,3.125,0.0
0.01,0.03125,0,persistent_rpe_local,30,0.7775309244791667,0.013939653902529202,0.12051595052083333,10.3,0.009262933062224933,0.7668425333227472,0.26140503309788377,3.125,0.0
0.01,0.03125,0,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,3.125,0.0
0.01,0.03125,4,bayes_reward_filter,30,0.7716145833333333,0.010736203495086912,0.12643229166666667,11.75,0.007758676680621601,0.650160679966837,0.2293360494309902,3.125,0.04
0.01,0.03125,4,credit_shuffled_local,30,0.7382975260416667,0.012613767538667298,0.15974934895833334,0.5166666666666667,0.015122219666575735,1.027081462261583,0.3662855633740792,3.125,0.04
0.01,0.03125,4,cumulative_sample_average,30,0.7595133463541667,0.015526756463588401,0.13853352864583332,7.366666666666666,0.0010932454965646334,2.047406896728586,0.3954806725250763,3.125,0.04
0.01,0.03125,4,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,3.125,0.04
0.01,0.03125,4,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,3.125,0.04
0.01,0.03125,4,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,3.125,0.04
0.01,0.03125,4,persistent_rpe_local,30,0.7736246744791667,0.013587228604537363,0.12442220052083333,12.783333333333333,0.009353153779745268,0.791807785179745,0.27036545226989434,3.125,0.04
0.01,0.03125,4,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,3.125,0.04
0.01,0.03125,16,bayes_reward_filter,30,0.7653157552083333,0.011023761607989605,0.13273111979166666,14.266666666666667,0.007742051856892467,0.667743623105555,0.23761460213368432,3.125,0.16
