candidate_type,temperature,natural_current_frame_accuracy,eligible,retention,hidden_switch_accuracy,window_frames,hazard,prior_concentration,alarm_threshold,min_run_frames,max_run_length,natural_accuracy,natural_accuracy_loss,natural_false_alarms_per_1000,post_switch_accuracy,mean_detection_delay,selected
temperature,1.0,0.966484375,True,,,,,,,,,,,,,,True
temperature,2.0,0.966484375,True,,,,,,,,,,,,,,False
temperature,5.0,0.966484375,True,,,,,,,,,,,,,,False
temperature,10.0,0.966484375,True,,,,,,,,,,,,,,False
temperature,20.0,0.966484375,True,,,,,,,,,,,,,,False
fixed_forgetting,,,True,0.0,0.9594791666666667,,,,,,,,,,,,True
fixed_forgetting,,,True,0.5,0.949375,,,,,,,,,,,,False
fixed_forgetting,,,True,0.7,0.9276041666666667,,,,,,,,,,,,False
fixed_forgetting,,,True,0.85,0.871875,,,,,,,,,,,,False
fixed_forgetting,,,True,0.93,0.7567708333333333,,,,,,,,,,,,False
fixed_forgetting,,,True,0.97,0.59625,,,,,,,,,,,,False
fixed_forgetting,,,True,0.99,0.47010416666666666,,,,,,,,,,,,False
fixed_forgetting,,,True,1.0,0.4065625,,,,,,,,,,,,False
sliding_window,,,True,,0.948125,2.0,,,,,,,,,,,True
sliding_window,,,True,,0.9267708333333333,4.0,,,,,,,,,,,False
sliding_window,,,True,,0.8816666666666667,8.0,,,,,,,,,,,False
sliding_window,,,True,,0.7863541666666667,16.0,,,,,,,,,,,False
sliding_window,,,True,,0.5913541666666666,32.0,,,,,,,,,,,False
sliding_window,,,True,,0.38635416666666667,64.0,,,,,,,,,,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.2,2.0,128.0,0.9859765625,0.0,0.0,0.21,,True
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.2,4.0,128.0,0.9859765625,0.0,0.0,0.21,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.2,8.0,128.0,0.9859765625,0.0,0.0,0.21,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.4,2.0,128.0,0.9859765625,0.0,0.0,0.21,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.4,4.0,128.0,0.9859765625,0.0,0.0,0.21,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.4,8.0,128.0,0.9859765625,0.0,0.0,0.21,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.6,2.0,128.0,0.9859765625,0.0,0.0,0.21,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.6,4.0,128.0,0.9859765625,0.0,0.0,0.21,,False
bocpd_change_reset,,,True,,0.4065625,,0.0078125,0.1,0.6,8.0,128.0,0.9859765625,0.0,0.0,0.21,,False
