candidate_index,retention_floor,retention_ceiling,bias,surprise_weight,entropy_weight,disagreement_weight,fast_retention,slow_retention,evidence_weight_floor,epsilon,natural_accuracy,natural_accuracy_loss,hidden_accuracy,post_switch_accuracy,reachability_auc,reachability_recall,false_alarms_per_1000,median_delay,mean_retention,eligible,selected
0,0.0,0.93,0.5,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7527701485823713,0.0005162258612970705,0.7431972789115646,0.778688524590164,0.5005656390106631,0.38524590163934425,18.19806645543911,2.0,0.3563681846535885,True,False
1,0.0,0.93,0.5,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7557703627119714,-0.0024839882683029835,0.7423469387755102,0.7814207650273224,0.8200487754352596,0.0,0.0,,0.35938916421519335,False,False
2,0.0,0.93,0.5,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7545968051709326,-0.0013104307272642224,0.7431972789115646,0.7814207650273224,0.7368090426912849,0.00819672131147541,6.824274920789666,0.0,0.3545156182098531,False,False
3,0.0,0.93,0.5,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7534874262341728,-0.0002010517905043363,0.7434807256235827,0.7814207650273224,0.6894843605185317,0.00819672131147541,6.49930944837111,0.0,0.3540564276791226,False,False
4,0.0,0.93,0.25,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.754468970187516,-0.0011825957438476031,0.7423469387755102,0.7745901639344263,0.5005656390106631,0.4672131147540984,33.715167763425136,2.0,0.4095871943448396,True,False
5,0.0,0.93,0.25,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7575610610487223,-0.004274686605053923,0.7429138321995465,0.7786885245901639,0.8200487754352596,0.12295081967213115,31.765374928913804,0.0,0.4131162956068942,True,False
6,0.0,0.93,0.25,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7561982790938352,-0.0029119046501667745,0.7429138321995465,0.7793715846994537,0.7368090426912849,0.09016393442622951,26.97213421074011,0.0,0.40905202571471827,False,False
7,0.0,0.93,0.25,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7560919865768284,-0.002805612133159996,0.7423469387755102,0.778688524590164,0.6894843605185317,0.12295081967213115,24.128686327077748,0.0,0.4087598947615484,True,False
8,0.0,0.93,-0.0,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7562266191849885,-0.0029402447413200417,0.7375283446712019,0.7636612021857924,0.5005656390106631,0.5737704918032787,43.951580144609636,2.0,0.4643025973997639,True,False
9,0.0,0.93,-0.0,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7592989857335404,-0.006012611289871961,0.7440476190476191,0.7786885245901639,0.8200487754352596,0.23770491803278687,14.298480786416443,0.0,0.4679979026663479,True,False
10,0.0,0.93,-0.0,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7573786342596175,-0.004092259815949073,0.7426303854875282,0.7745901639344263,0.7368090426912849,0.3360655737704918,35.01502965309936,1.0,0.46514049517877526,True,False
11,0.0,0.93,-0.0,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7574849267766243,-0.004198552332955852,0.7426303854875282,0.7745901639344264,0.6894843605185317,0.3770491803278688,35.90868470225038,1.0,0.4650452465431162,True,False
12,0.0,0.93,-0.25,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.759008049759647,-0.005721675315978558,0.7341269841269842,0.7513661202185794,0.5005656390106631,0.45901639344262296,37.77723616865708,2.5,0.51908004590481,True,False
13,0.0,0.93,-0.25,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7622692089105305,-0.0089828344668621,0.7454648526077098,0.7773224043715846,0.8200487754352596,0.36885245901639346,6.255585344057194,0.0,0.5225641281977568,True,False
14,0.0,0.93,-0.25,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7610259801375399,-0.007739605693871443,0.7417800453514739,0.7691256830601092,0.7368090426912849,0.6475409836065574,20.879031602892194,1.0,0.5212122666102853,True,False
15,0.0,0.93,-0.25,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7594245062146373,-0.006138131770968891,0.7400793650793651,0.7663934426229508,0.6894843605185317,0.6721311475409836,26.728410106426193,1.0,0.5213254189719322,True,False
16,0.0,0.93,-0.5,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7627255415410487,-0.009439167097380241,0.7335600907029479,0.746584699453552,0.5005656390106631,0.32786885245901637,26.89089284263547,3.0,0.5724748126416098,True,False
17,0.0,0.93,-0.5,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7670472925235087,-0.013760918079840256,0.7443310657596373,0.7725409836065574,0.8200487754352596,0.6557377049180327,3.493378828499472,1.0,0.5754110337539432,True,False
18,0.0,0.93,-0.5,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7647395879003329,-0.011453213456664502,0.7378117913832201,0.7568306010928962,0.7368090426912849,0.6475409836065574,9.180274595824194,2.0,0.575702617586052,True,False
19,0.0,0.93,-0.5,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.764301364365305,-0.011014989921636631,0.7352607709750567,0.7520491803278688,0.6894843605185317,0.5327868852459017,11.536274270858721,3.0,0.5760145515239964,True,False
20,0.0,0.93,1.0,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7468658917019292,0.006420482741739231,0.7423469387755102,0.7827868852459017,0.5005656390106631,0.38524590163934425,18.19806645543911,2.0,0.278202578419709,True,False
21,0.0,0.93,1.0,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.752223797887211,0.001062576556457362,0.7400793650793651,0.7827868852459017,0.8200487754352596,0.0,0.0,,0.2885375775265977,False,False
22,0.0,0.93,1.0,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7495916802253315,0.0036946942183369025,0.7417800453514739,0.7848360655737706,0.7368090426912849,0.00819672131147541,6.824274920789666,0.0,0.26901216353558716,False,False
23,0.0,0.93,1.0,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7476731874183726,0.005613187025295785,0.7409297052154196,0.7834699453551913,0.6894843605185317,0.00819672131147541,6.49930944837111,0.0,0.26703171065628206,False,False
24,0.0,0.93,0.5,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7503613789430252,0.0029249955006431794,0.7389455782312925,0.7725409836065574,0.5005656390106631,0.4672131147540984,33.715167763425136,2.0,0.3662515938065297,True,False
25,0.0,0.93,0.5,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7564092366826123,-0.0031228622389438687,0.7417800453514739,0.7827868852459018,0.8200487754352596,0.12295081967213115,31.765374928913804,0.0,0.38359870308325755,True,False
26,0.0,0.93,0.5,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7529630498169392,0.0003233246267292378,0.7414965986394558,0.7827868852459017,0.7368090426912849,0.09016393442622951,26.97213421074011,0.0,0.3631715600691018,False,False
27,0.0,0.93,0.5,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7520238104848428,0.0012625639588256243,0.742063492063492,0.7827868852459017,0.6894843605185317,0.12295081967213115,24.128686327077748,0.0,0.36162172466706494,True,False
28,0.0,0.93,-0.0,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7542073453248676,-0.0009209708811991346,0.7349773242630386,0.7561475409836066,0.5005656390106631,0.5737704918032787,43.951580144609636,2.0,0.4620381009031528,True,False
29,0.0,0.93,-0.0,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7617076075243779,-0.008421233080709523,0.7434807256235827,0.7807377049180328,0.8200487754352596,0.23770491803278687,14.298480786416443,0.0,0.48219026231120543,True,False
30,0.0,0.93,-0.0,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7579591490766714,-0.004672774633002974,0.7414965986394558,0.7745901639344263,0.7368090426912849,0.3360655737704918,35.01502965309936,1.0,0.46603011894895896,True,False
31,0.0,0.93,-0.0,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7564072067509195,-0.0031208323072511313,0.7406462585034014,0.773224043715847,0.6894843605185317,0.3770491803278688,35.90868470225038,1.0,0.4653097791674694,True,False
32,0.0,0.93,-0.5,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7595146010443988,-0.006228226600730413,0.7281746031746033,0.7356557377049181,0.5005656390106631,0.45901639344262296,37.77723616865708,2.5,0.5583890225514687,True,False
33,0.0,0.93,-0.5,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7677881431810312,-0.014501768737362752,0.7446145124716554,0.7725409836065575,0.8200487754352596,0.36885245901639346,6.255585344057194,0.0,0.57560650230893,True,False
34,0.0,0.93,-0.5,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.763552089245421,-0.010265714801752535,0.7397959183673469,0.7616120218579236,0.7368090426912849,0.6475409836065574,20.879031602892194,1.0,0.5684761454335817,True,False
35,0.0,0.93,-0.5,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7618692341057938,-0.008582859662125353,0.7363945578231292,0.7568306010928962,0.6894843605185317,0.6721311475409836,26.728410106426193,1.0,0.5688804253690644,True,False
36,0.0,0.93,-1.0,1.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7648518477165402,-0.011565473272871829,0.7208049886621315,0.7103825136612021,0.5005656390106631,0.32786885245901637,26.89089284263547,3.0,0.647963196962768,True,False
37,0.0,0.93,-1.0,0.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7733270951144015,-0.020040720670733037,0.743764172335601,0.7636612021857924,0.8200487754352596,0.6557377049180327,3.493378828499472,1.0,0.6580052582410032,True,False
38,0.0,0.93,-1.0,0.5,0.0,0.5,0.5,0.98,1.0,1e-12,0.7683874371672247,-0.015101062723556269,0.7327097505668935,0.7397540983606558,0.7368090426912849,0.6475409836065574,9.180274595824194,2.0,0.6616983026637208,True,False
39,0.0,0.93,-1.0,0.4,0.2,0.4,0.5,0.98,1.0,1e-12,0.7680020905334445,-0.014715716089776065,0.7295918367346939,0.7329234972677596,0.6894843605185317,0.5327868852459017,11.536274270858721,3.0,0.6632016872912536,True,False
40,0.0,0.93,2.0,2.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7406766942566176,0.012609680187050776,0.7386621315192744,0.7800546448087432,0.5005656390106631,0.38524590163934425,18.19806645543911,2.0,0.1984051387885222,False,False
41,0.0,0.93,2.0,0.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7479668697061026,0.005319504737565817,0.7378117913832201,0.7800546448087432,0.8200487754352596,0.0,0.0,,0.20530769505157015,False,False
42,0.0,0.93,2.0,1.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7427033382475473,0.01058303619612111,0.7369614512471656,0.7793715846994537,0.7368090426912849,0.00819672131147541,6.824274920789666,0.0,0.170254316016087,False,False
43,0.0,0.93,2.0,0.8,0.4,0.8,0.5,0.98,1.0,1e-12,0.7404176554559121,0.012868718987756322,0.7369614512471656,0.7800546448087432,0.6894843605185317,0.00819672131147541,6.49930944837111,0.0,0.16691118173310301,False,False
44,0.0,0.93,1.0,2.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7448381288423993,0.008448245601269111,0.7380952380952381,0.7725409836065574,0.5005656390106631,0.4672131147540984,33.715167763425136,2.0,0.31683623802120625,True,False
45,0.0,0.93,1.0,0.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7536634803967558,-0.0003771059530873755,0.7397959183673469,0.7814207650273224,0.8200487754352596,0.12295081967213115,31.765374928913804,0.0,0.3669096893046793,True,False
46,0.0,0.93,1.0,1.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7478857724523863,0.005400601991282117,0.7400793650793651,0.7827868852459018,0.7368090426912849,0.09016393442622951,26.97213421074011,0.0,0.30482742331279933,False,False
47,0.0,0.93,1.0,0.8,0.4,0.8,0.5,0.98,1.0,1e-12,0.7459021728810674,0.0073842015626010005,0.7395124716553287,0.782103825136612,0.6894843605185317,0.12295081967213115,24.128686327077748,0.0,0.3004520067154048,True,False
48,0.0,0.93,-0.0,2.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7511336188047176,0.0021527556389507874,0.7290249433106575,0.7445355191256832,0.5005656390106631,0.5737704918032787,43.951580144609636,2.0,0.4584200865848881,True,False
49,0.0,0.93,-0.0,0.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7635040132211596,-0.010217638777491156,0.7426303854875284,0.7793715846994537,0.8200487754352596,0.23770491803278687,14.298480786416443,0.0,0.5286185213133893,True,False
50,0.0,0.93,-0.0,1.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7568520606183924,-0.00356568617472397,0.7380952380952381,0.7752732240437158,0.7368090426912849,0.3360655737704918,35.01502965309936,1.0,0.4706614500872787,True,False
51,0.0,0.93,-0.0,0.8,0.4,0.8,0.5,0.98,1.0,1e-12,0.7545113347657618,-0.0012249603220934047,0.7378117913832201,0.773224043715847,0.6894843605185317,0.3770491803278688,35.90868470225038,1.0,0.4666300352814254,True,False
52,0.0,0.93,-1.0,2.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7598193062598183,-0.0065329318161498895,0.7142857142857142,0.6994535519125683,0.5005656390106631,0.45901639344262296,37.77723616865708,2.5,0.601523041223559,True,False
53,0.0,0.93,-1.0,0.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7743091782763195,-0.021022803832651094,0.7434807256235827,0.76775956284153,0.8200487754352596,0.36885245901639346,6.255585344057194,0.0,0.6499962779645299,True,False
54,0.0,0.93,-1.0,1.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7657650041384737,-0.012478629694805288,0.7344104308390024,0.7513661202185793,0.7368090426912849,0.6475409836065574,20.879031602892194,1.0,0.6311824886944609,True,False
55,0.0,0.93,-1.0,0.8,0.4,0.8,0.5,0.98,1.0,1e-12,0.7632607690136245,-0.00997439456995608,0.7310090702947847,0.7445355191256832,0.6894843605185317,0.6721311475409836,26.728410106426193,1.0,0.6312579380938713,True,False
56,0.0,0.93,-2.0,2.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7690712669657214,-0.01578489252205295,0.6927437641723355,0.6413934426229507,0.5005656390106631,0.32786885245901637,26.89089284263547,3.0,0.7244889939976404,True,False
57,0.0,0.93,-2.0,0.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7814399887301147,-0.02815361428644625,0.7417800453514739,0.7527322404371586,0.8200487754352596,0.6557377049180327,3.493378828499472,1.0,0.7335203019600468,True,False
58,0.0,0.93,-2.0,1.0,0.0,1.0,0.5,0.98,1.0,1e-12,0.7759628655731619,-0.022676491129493437,0.7247732426303856,0.7124316939890709,0.7368090426912849,0.6475409836065574,9.180274595824194,2.0,0.7574022430412944,True,False
59,0.0,0.93,-2.0,0.8,0.4,0.8,0.5,0.98,1.0,1e-12,0.7746130292559121,-0.021326654812243717,0.7174036281179137,0.6967213114754097,0.6894843605185317,0.5327868852459017,11.536274270858721,3.0,0.7624964538704313,True,False
60,0.0,0.93,4.0,4.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7373816262294067,0.015904748214261688,0.7358276643990929,0.7773224043715847,0.5005656390106631,0.38524590163934425,18.19806645543911,2.0,0.1504643419931179,False,False
61,0.0,0.93,4.0,0.0,0.0,4.0,0.5,0.98,1.0,1e-12,0.742253635949474,0.011032738494194394,0.7363945578231292,0.7793715846994537,0.8200487754352596,0.0,0.0,,0.11354627604460306,False,False
62,0.0,0.93,4.0,2.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7373422586305154,0.015944115813153026,0.7358276643990929,0.7793715846994537,0.7368090426912849,0.00819672131147541,6.824274920789666,0.0,0.09908211016680993,False,False
63,0.0,0.93,4.0,1.6,0.8,1.6,0.5,0.98,1.0,1e-12,0.737109989797056,0.01617638464661242,0.7358276643990929,0.7793715846994537,0.6894843605185317,0.00819672131147541,6.49930944837111,0.0,0.09839270465906057,False,False
64,0.0,0.93,2.0,4.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7412475244405431,0.012038850003125323,0.7341269841269842,0.7650273224043715,0.5005656390106631,0.4672131147540984,33.715167763425136,2.0,0.2837833488831472,False,False
65,0.0,0.93,2.0,0.0,0.0,4.0,0.5,0.98,1.0,1e-12,0.7526491991769659,0.0006371752667024833,0.7392290249433106,0.778688524590164,0.8200487754352596,0.12295081967213115,31.765374928913804,0.0,0.3763666847985048,True,False
66,0.0,0.93,2.0,2.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7438583835990212,0.009427990844647183,0.7375283446712019,0.7793715846994537,0.7368090426912849,0.09016393442622951,26.97213421074011,0.0,0.2566875902615408,False,False
67,0.0,0.93,2.0,1.6,0.8,1.6,0.5,0.98,1.0,1e-12,0.740331046738351,0.012955327705317377,0.7372448979591837,0.7780054644808744,0.6894843605185317,0.12295081967213115,24.128686327077748,0.0,0.2513417363081999,False,False
68,0.0,0.93,-0.0,4.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7482626019769338,0.005023772466734577,0.7230725623582767,0.7301912568306012,0.5005656390106631,0.5737704918032787,43.951580144609636,2.0,0.4567342631508387,True,False
69,0.0,0.93,-0.0,0.0,0.0,4.0,0.5,0.98,1.0,1e-12,0.7666168902610416,-0.013330515817373212,0.7443310657596371,0.7780054644808744,0.8200487754352596,0.23770491803278687,14.298480786416443,0.0,0.6002434531576663,True,False
70,0.0,0.93,-0.0,2.0,0.0,2.0,0.5,0.98,1.0,1e-12,0.7557422498701157,-0.002455875426447318,0.7355442176870748,0.7711748633879781,0.7368090426912849,0.3360655737704918,35.01502965309936,1.0,0.48198418047519254,True,False
71,0.0,0.93,-0.0,1.6,0.8,1.6,0.5,0.98,1.0,1e-12,0.7506092423874842,0.0026771320561842504,0.733843537414966,0.7670765027322405,0.6894843605185317,0.3770491803278688,35.90868470225038,1.0,0.4700984734768773,True,False
72,0.0,0.93,-2.0,4.0,0.0,0.0,0.5,0.98,1.0,1e-12,0.7593676742113922,-0.006081299767723758,0.6944444444444444,0.6502732240437158,0.5005656390106631,0.45901639344262296,37.77723616865708,2.5,0.6302943448622769,True,False
