seed,factor,log_parameter_correlation,mean_absolute_log_error
39100,h,0.3298880245977408,1.3966842954494079
39100,q,0.299929496658129,1.2150041704088779
39100,r,0.8845979438187582,0.6808928482319174
39101,h,0.06997354868826652,1.562553317728716
39101,q,0.32174861788693526,1.1669305418050255
39101,r,0.8554536168609834,0.6329275500265764
39102,h,0.2501552215570827,1.542631676359841
39102,q,0.3009715586835031,1.2373974534647805
39102,r,0.849486007322013,0.6596533547455119
39103,h,0.10676550401274787,1.5436502696969514
39103,q,0.3344849993760122,1.2286697114494118
39103,r,0.8647336740235374,0.6613439464412332
39104,h,0.13664483695987917,1.548212636852592
39104,q,0.3414268161877684,1.2041751029416188
39104,r,0.8714684725206439,0.6063963513789623
39105,h,0.06282320646402201,1.5835694097567967
39105,q,0.3160707415633753,1.188677960236113
39105,r,0.8654124455952051,0.6481402150632687
39106,h,0.0616467254986057,1.5666036304830158
39106,q,0.3452607443586582,1.1905065348137776
39106,r,0.848404724287307,0.6533848190753139
39107,h,0.08714373247764409,1.557197269579368
39107,q,0.3384106188316879,1.187477569992808
39107,r,0.8591572154384046,0.631611596858654
39108,h,0.05450671443269565,1.573780124690058
39108,q,0.2696697657616986,1.2407485051310625
39108,r,0.856859509899479,0.6462322092516194
39109,h,-0.027030310653201405,1.5988951698596603
39109,q,0.3271431175261125,1.2266769745599335
39109,r,0.861422066814688,0.6459010339027746
39110,h,-0.004612802619445807,1.590617457787643
39110,q,0.26164010595098675,1.264342694658902
39110,r,0.8813264221357676,0.616654976477583
39111,h,0.27597674117080456,1.5249541406042058
39111,q,0.3233468791953246,1.2220138540900107
39111,r,0.8764482099951884,0.637079161116278
39112,h,-0.010229339481215755,1.5936230835324237
39112,q,0.2440109169922895,1.2750643772793429
39112,r,0.8771748642816956,0.683007606522918
39113,h,0.09339982873751579,1.549066148708405
39113,q,0.3175239476347751,1.2192230632613916
39113,r,0.8807211813461051,0.6119757769459786
39114,h,0.1136843612426285,1.538043793179766
39114,q,0.33492667305976076,1.2124599508673006
39114,r,0.8593319443134565,0.6320441825512924
39115,h,0.056692662421349314,1.5657108752867335
39115,q,0.2886813585682374,1.2874138150017982
39115,r,0.8917314707311045,0.6312739942414056
39116,h,-0.01377755207179219,1.594816043082059
39116,q,0.3333275695378589,1.1908130696310313
39116,r,0.8612891652071207,0.6746075259974029
39117,h,-0.049472454719982656,1.6042964318453952
39117,q,0.27666852832344974,1.2373809511558864
39117,r,0.8551457379939796,0.6568285702760444
39118,h,0.030115859176022535,1.5770339603151164
39118,q,0.3253564081518964,1.1826290535354675
39118,r,0.8631419164904764,0.6310454921327477
39119,h,0.044941760863668745,1.5737692803743797
39119,q,0.3440247713113778,1.1846004903394913
39119,r,0.8598251189632596,0.6484205918643944
39120,h,0.010271182094880689,1.5852932059405656
39120,q,0.3046541889650942,1.2332139613981594
39120,r,0.8782171738863577,0.6548755114918675
39121,h,0.17830213383444574,1.5090416771257325
39121,q,0.359032528060292,1.1754476787849895
39121,r,0.8294711805195943,0.6779205725866059
39122,h,0.14607806583125524,1.5380382798506442
39122,q,0.3485218020086044,1.168763988045729
39122,r,0.8738326791580256,0.6133047945340556
39123,h,0.3735785710058681,1.4045911349599056
39123,q,0.30429758203759266,1.1985125704786486
39123,r,0.8757322706770534,0.6399296881714285
39124,h,0.10094863013392924,1.5541988408189247
39124,q,0.25980833949915166,1.269542266808902
39124,r,0.905619816518361,0.649018850749782
39125,h,-0.10697514278774088,1.6231237976264818
39125,q,0.2538950333112876,1.2719851450165636
39125,r,0.8836671960121841,0.644230791349998
39126,h,0.0355767884228585,1.5708125307735816
39126,q,0.31039665832376695,1.2520903566333836
39126,r,0.8787659181177957,0.669654754912439
39127,h,0.1690328055468183,1.5031791564469068
39127,q,0.32945329964982606,1.236196165005262
39127,r,0.8756088545368169,0.6830593084069594
39128,h,0.04511058948437341,1.5723988563815354
39128,q,0.33938945536388426,1.1813259253421367
39128,r,0.8521124181757601,0.6403926096407406
39129,h,0.05735851312303831,1.5637328424386345
39129,q,0.29546620174980676,1.2253586838474848
39129,r,0.8517179210766148,0.6546905365554896
