seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39100,factorized,online_em,0.01:0.5:0.2,,0.07524627307355468,0.01,0.5,0.2,True
39100,factorized,online_em,0.002:0.5:0.2,,0.07572870203418534,0.002,0.5,0.2,False
39100,factorized,online_em,0.05:0.5:0.2,,0.08095200188677236,0.05,0.5,0.2,False
39100,factorized,online_em,0.01:0.2:0.2,,0.08590479513474625,0.01,0.2,0.2,False
39100,factorized,online_em,0.002:0.2:0.2,,0.08607496765526261,0.002,0.2,0.2,False
39100,factorized,online_em,0.05:0.2:0.2,,0.09181519450532431,0.05,0.2,0.2,False
39100,factorized,online_em,0.01:0.5:0.5,,0.09696064644466008,0.01,0.5,0.5,False
39100,factorized,online_em,0.002:0.5:0.5,,0.09793719465942513,0.002,0.5,0.5,False
39100,factorized,online_em,0.05:0.5:0.5,,0.09882232328723266,0.05,0.5,0.5,False
39100,factorized,online_em,0.01:0.2:0.5,,0.10252254988878533,0.01,0.2,0.5,False
39100,factorized,online_em,0.002:0.2:0.5,,0.10339245547030922,0.002,0.2,0.5,False
39100,factorized,online_em,0.05:0.2:0.5,,0.10643612119834205,0.05,0.2,0.5,False
39100,factorized,online_em,0.002:0.5:0.08,,0.11206807370471583,0.002,0.5,0.08,False
39100,factorized,online_em,0.002:0.2:0.08,,0.11429784843394546,0.002,0.2,0.08,False
39100,factorized,online_em,0.01:0.5:0.08,,0.11549823832488217,0.01,0.5,0.08,False
39100,factorized,online_em,0.002:0.08:0.2,,0.11730021163505411,0.002,0.08,0.2,False
39100,factorized,online_em,0.01:0.08:0.2,,0.1185485507614028,0.01,0.08,0.2,False
39100,factorized,online_em,0.01:0.2:0.08,,0.11914347743046956,0.01,0.2,0.08,False
39100,factorized,online_em,0.05:0.5:0.08,,0.12185230203611384,0.05,0.5,0.08,False
39100,factorized,online_em,0.05:0.2:0.08,,0.12260625280184312,0.05,0.2,0.08,False
39100,factorized,online_em,0.05:0.08:0.2,,0.12588216821995207,0.05,0.08,0.2,False
39100,factorized,online_em,0.002:0.08:0.08,,0.1330420962755804,0.002,0.08,0.08,False
39100,factorized,online_em,0.01:0.08:0.5,,0.13597384014034888,0.01,0.08,0.5,False
39100,factorized,online_em,0.002:0.08:0.5,,0.13637193928973299,0.002,0.08,0.5,False
39100,factorized,online_em,0.01:0.08:0.08,,0.13963753077434346,0.01,0.08,0.08,False
39100,factorized,online_em,0.05:0.08:0.08,,0.14193934369555228,0.05,0.08,0.08,False
39100,factorized,online_em,0.05:0.08:0.5,,0.14209053779361375,0.05,0.08,0.5,False
39100,fixed,fixed_jump,0.03:0.01:0.04,,0.26317897016745057,0.03,0.01,0.04,True
39100,fixed,fixed_jump,0.01:0.01:0.04,,0.27063959625054995,0.01,0.01,0.04,False
39100,fixed,fixed_jump,0.06:0.01:0.04,,0.2708549295411827,0.06,0.01,0.04,False
39100,fixed,fixed_jump,0.0025:0.01:0.04,,0.29043445138219404,0.0025,0.01,0.04,False
39100,fixed,fixed_jump,0.06:0.0025:0.04,,0.2973942930478041,0.06,0.0025,0.04,False
39100,fixed,fixed_jump,0.03:0.04:0.04,,0.30003485953709125,0.03,0.04,0.04,False
39100,fixed,fixed_jump,0.03:0.0025:0.04,,0.30151984122190184,0.03,0.0025,0.04,False
39100,fixed,fixed_jump,0.01:0.04:0.04,,0.302287013655639,0.01,0.04,0.04,False
39100,fixed,fixed_jump,0.06:0.04:0.04,,0.31280963465688066,0.06,0.04,0.04,False
39100,fixed,fixed_jump,0.0025:0.04:0.04,,0.31873359914530924,0.0025,0.04,0.04,False
39100,fixed,fixed_jump,0.01:0.0025:0.04,,0.32473734629023865,0.01,0.0025,0.04,False
39100,fixed,fixed_jump,0.06:0.04:0.01,,0.32868028978131153,0.06,0.04,0.01,False
39100,fixed,fixed_jump,0.03:0.04:0.01,,0.33400249187221603,0.03,0.04,0.01,False
39100,fixed,fixed_jump,0.01:0.04:0.01,,0.35943442267248865,0.01,0.04,0.01,False
39100,fixed,fixed_jump,0.0025:0.0025:0.04,,0.361623009844406,0.0025,0.0025,0.04,False
39100,fixed,fixed_jump,0.0025:0.04:0.01,,0.3964629269834881,0.0025,0.04,0.01,False
39100,fixed,fixed_jump,0.06:0.01:0.01,,0.4305415369283794,0.06,0.01,0.01,False
