seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43002,learned_event_learned_qr,1,0,101,111,1,1,2.0214354591790658,0.034524007367389316
43002,learned_event_learned_qr,1,0,101,111,4,4,2.0235372359863444,0.22804981634488797
43002,learned_event_learned_qr,1,0,101,111,8,8,1.4416236050915743,0.12947390473042591
43002,learned_event_learned_qr,1,0,101,111,16,16,1.529640508263361,0.10024448113780726
43002,learned_event_learned_qr,2,0,111,110,1,1,1.0670773120057686,0.004318730862053651
43002,learned_event_learned_qr,2,0,111,110,4,4,0.6341171102428973,0.001645528424732605
43002,learned_event_learned_qr,2,0,111,110,8,8,0.8662421781905543,0.02202670871926124
43002,learned_event_learned_qr,2,0,111,110,16,16,0.5164302606363854,0.012230792953872631
43002,learned_event_learned_qr,3,0,110,011,1,1,5.7815018287466415,0.4949678369408329
43002,learned_event_learned_qr,3,0,110,011,4,4,2.649165791404692,0.1256630120698477
43002,learned_event_learned_qr,3,0,110,011,8,8,1.8886236527235205,0.08658781834792664
43002,learned_event_learned_qr,3,0,110,011,16,16,1.461777583739151,0.07985830731537391
43002,learned_event_learned_qr,4,0,011,110,1,1,5.555722111913547,0.0005616643603197638
43002,learned_event_learned_qr,4,0,011,110,4,4,1.6358571483068065,0.00798511276741087
43002,learned_event_learned_qr,4,0,011,110,8,8,0.8028510647456931,0.005243809232154252
43002,learned_event_learned_qr,4,0,011,110,16,16,0.790240855818708,0.007214839671270437
43002,learned_event_learned_qr,5,0,110,101,1,1,0.9075257425372676,0.07703625957169093
43002,learned_event_learned_qr,5,0,110,101,4,4,0.9278623615600601,0.09247290043306489
43002,learned_event_learned_qr,5,0,110,101,8,8,0.819242295876897,0.07998247112934417
43002,learned_event_learned_qr,5,0,110,101,16,16,1.244224689057596,0.1466218321813946
43002,learned_event_learned_qr,6,0,101,101,1,1,0.2710417625857792,0.01743426280193876
43002,learned_event_learned_qr,6,0,101,101,4,4,0.8037888874135353,0.059105112806262204
43002,learned_event_learned_qr,6,0,101,101,8,8,0.6248864450692686,0.05950271456742526
43002,learned_event_learned_qr,6,0,101,101,16,16,0.7283985971693057,0.06834441828404762
43002,learned_event_learned_qr,7,0,101,011,1,1,0.6749961350960014,0.06321576644256872
43002,learned_event_learned_qr,7,0,101,011,4,4,0.30646282117363044,0.05063283616164871
43002,learned_event_learned_qr,7,0,101,011,8,8,0.7338269409583333,0.04462408796745432
43002,learned_event_learned_qr,7,0,101,011,16,16,0.81543232805802,0.08082891961755863
