seed,method,event_index,sequence_id,cell,window,n_samples,nll,latent_mse
43005,learned_event_learned_qr,9,0,110,1,1,-0.29112236857795487,0.009817910300224683
43005,learned_event_learned_qr,9,0,110,4,4,-0.3402802362017642,0.009603343672847372
43005,learned_event_learned_qr,9,0,110,8,8,-0.12481309639555777,0.00915332591256401
43005,learned_event_learned_qr,9,0,110,16,9,-0.11132620341580154,0.008201646397769085
43005,learned_event_learned_qr,19,0,110,1,1,0.019099357008507734,0.019133431127489827
43005,learned_event_learned_qr,19,0,110,4,4,-0.42667622919892123,0.02404914950169492
43005,learned_event_learned_qr,19,0,110,8,8,-0.05365112122257959,0.018150183680516213
43005,learned_event_learned_qr,19,0,110,16,15,-0.19019283945170115,0.013537417909810799
43005,learned_event_learned_qr,35,0,110,1,1,-0.8355001831396734,8.61584199273343e-05
43005,learned_event_learned_qr,35,0,110,4,4,-0.7428936075491743,0.022338796524752076
43005,learned_event_learned_qr,35,0,110,8,8,-0.42168618202153246,0.013966716579399019
43005,learned_event_learned_qr,35,0,110,16,16,0.0035439307210721194,0.012395717929252406
43005,learned_event_learned_qr,63,0,110,1,1,-0.43127479736528385,1.983042269070169e-05
43005,learned_event_learned_qr,63,0,110,4,1,-0.43127479736528385,1.983042269070169e-05
43005,learned_event_learned_qr,63,0,110,8,1,-0.43127479736528385,1.983042269070169e-05
43005,learned_event_learned_qr,63,0,110,16,1,-0.43127479736528385,1.983042269070169e-05
43005,learned_event_learned_qr,65,0,110,1,1,-0.4594333823021039,0.00461252571961239
43005,learned_event_learned_qr,65,0,110,4,4,0.41195409833606733,0.0040015916548645485
43005,learned_event_learned_qr,65,0,110,8,8,0.11275210498329888,0.003858140338530781
43005,learned_event_learned_qr,65,0,110,16,14,0.16809661049849808,0.006565973267098826
43005,learned_event_learned_qr,80,0,110,1,1,-0.44564463172920865,0.004676007108776887
43005,learned_event_learned_qr,80,0,110,4,4,-0.022885605996885272,0.019035467276304563
43005,learned_event_learned_qr,80,0,110,8,8,0.28209947613923914,0.018670523223360727
43005,learned_event_learned_qr,80,0,110,16,14,0.3147532505635154,0.019547655765473432
43005,learned_event_learned_qr,95,0,110,1,1,-0.27731901411591214,0.019586181188958923
43005,learned_event_learned_qr,95,0,110,4,4,0.5583799990852636,0.019962349384189067
43005,learned_event_learned_qr,95,0,110,8,6,0.3892769520457709,0.021591652170633774
43005,learned_event_learned_qr,95,0,110,16,6,0.3892769520457709,0.021591652170633774
43005,learned_event_learned_qr,102,0,110,1,1,-0.24597290313868997,0.007992588612981582
43005,learned_event_learned_qr,102,0,110,4,4,-0.23140747801720177,0.011619057430910188
43005,learned_event_learned_qr,102,0,110,8,4,-0.23140747801720177,0.011619057430910188
43005,learned_event_learned_qr,102,0,110,16,4,-0.23140747801720177,0.011619057430910188
43005,learned_event_learned_qr,107,0,110,1,1,0.36056828881554953,0.016786626709631536
43005,learned_event_learned_qr,107,0,110,4,4,0.09299145405724618,0.011029232127086962
43005,learned_event_learned_qr,107,0,110,8,8,-0.05336944321019887,0.009638222769218847
43005,learned_event_learned_qr,107,0,110,16,11,-0.17210249338487627,0.013399231890542486
43005,learned_event_learned_qr,119,0,110,1,1,-0.7580987474321627,2.9000211159334403e-05
43005,learned_event_learned_qr,119,0,110,4,1,-0.7580987474321627,2.9000211159334403e-05
43005,learned_event_learned_qr,119,0,110,8,1,-0.7580987474321627,2.9000211159334403e-05
43005,learned_event_learned_qr,119,0,110,16,1,-0.7580987474321627,2.9000211159334403e-05
43005,learned_event_learned_qr,121,0,110,1,1,1.8596913709057588,0.0010682969854738983
43005,learned_event_learned_qr,121,0,110,4,4,0.4357167502793932,0.008670813468729372
43005,learned_event_learned_qr,121,0,110,8,8,0.8080496848822036,0.015823965458927287
43005,learned_event_learned_qr,121,0,110,16,9,1.3148483961935318,0.10531855653377568
43005,learned_event_learned_qr,131,0,111,1,1,2.3324381697005716,0.09508517030470605
43005,learned_event_learned_qr,131,0,111,4,4,1.4953295704822627,0.12295353487083782
43005,learned_event_learned_qr,131,0,111,8,8,1.0297786166053269,0.11726364683981412
43005,learned_event_learned_qr,131,0,111,16,16,0.8501256183433425,0.08171864654074104
43005,learned_event_learned_qr,198,0,111,1,1,0.5518665941794769,0.1448043033594223
43005,learned_event_learned_qr,198,0,111,4,4,0.42921508188544066,0.08192232549116411
43005,learned_event_learned_qr,198,0,111,8,8,1.2556535086124931,0.06352688945225216
43005,learned_event_learned_qr,198,0,111,16,16,1.0631065702349702,0.060453097924168184
43005,learned_event_learned_qr,223,0,111,1,1,1.3403808438474285,0.006526596745916652
43005,learned_event_learned_qr,223,0,111,4,4,0.9421283764239711,0.13913843705326306
43005,learned_event_learned_qr,223,0,111,8,8,1.108360492408571,0.11661240875167186
43005,learned_event_learned_qr,223,0,111,16,8,1.108360492408571,0.11661240875167186
43005,learned_event_learned_qr,232,0,111,1,1,0.8207153291110633,0.10459136442859775
43005,learned_event_learned_qr,232,0,111,4,4,1.214689139962199,0.45685688968992055
43005,learned_event_learned_qr,232,0,111,8,8,0.9650702584658561,0.3264602146898302
43005,learned_event_learned_qr,232,0,111,16,9,1.008118814951221,0.29915662635447426
43005,learned_event_learned_qr,242,0,111,1,1,1.3812687548048528,0.05414606524444932
43005,learned_event_learned_qr,242,0,111,4,4,1.0346054268857166,0.03375260834182268
43005,learned_event_learned_qr,242,0,111,8,8,0.8597859542118864,0.03148313360788942
43005,learned_event_learned_qr,242,0,111,16,16,0.7143566639339063,0.10512359525537125
43005,learned_event_learned_qr,263,0,011,1,1,0.838776632949315,0.015967552767079823
43005,learned_event_learned_qr,263,0,011,4,4,0.5935859164281958,0.017060509158784546
43005,learned_event_learned_qr,263,0,011,8,8,0.7314891127537414,0.01996160079691408
43005,learned_event_learned_qr,263,0,011,16,16,0.5854001424930109,0.029196059990737162
43005,learned_event_learned_qr,403,0,101,1,1,0.32188119472530713,0.02753472238007797
43005,learned_event_learned_qr,403,0,101,4,4,0.0430348963250361,0.04014012915990893
43005,learned_event_learned_qr,403,0,101,8,8,0.598788223692204,0.039216523200114595
43005,learned_event_learned_qr,403,0,101,16,16,0.7465884323386743,0.060480471964974455
43005,learned_event_learned_qr,440,0,101,1,1,0.7585764925773332,0.0020654240591293934
43005,learned_event_learned_qr,440,0,101,4,4,0.767626013980083,0.031742461812986685
43005,learned_event_learned_qr,440,0,101,8,8,0.8776655503234609,0.04732145862057288
43005,learned_event_learned_qr,440,0,101,16,16,0.843456226159834,0.04486483275139783
43005,learned_event_learned_qr,476,0,101,1,1,1.637025060654275,7.178435018921709e-05
43005,learned_event_learned_qr,476,0,101,4,4,0.9449360519902612,0.04556462983688182
43005,learned_event_learned_qr,476,0,101,8,8,0.8925105538910199,0.055894127350133466
43005,learned_event_learned_qr,476,0,101,16,9,0.8425440322376236,0.05495680595478917
43005,learned_event_learned_qr,486,0,101,1,1,0.4030321901394099,0.03500109694458142
43005,learned_event_learned_qr,486,0,101,4,4,0.4208365701328939,0.018005585990384064
43005,learned_event_learned_qr,486,0,101,8,8,0.22415539400695117,0.014150383731053415
43005,learned_event_learned_qr,486,0,101,16,16,0.8384086813359373,0.05856249232315371
