seed,selection_family,hazard_rate,process_rate,observation_rate,fit_nll,selected,process_variance,observation_variance,statistic_decay,prior_mass,q_fraction,mode_switch_probability
43006,learned_event_learned_qr,0.002,0.02,0.02,0.21604899813832315,False,,,,,,
43006,learned_event_learned_qr,0.002,0.02,0.1,0.14124060089419896,False,,,,,,
43006,learned_event_learned_qr,0.002,0.02,0.5,0.1588390085494204,False,,,,,,
43006,learned_event_learned_qr,0.002,0.1,0.02,0.19445770722454708,False,,,,,,
43006,learned_event_learned_qr,0.002,0.1,0.1,0.11716905958468884,False,,,,,,
43006,learned_event_learned_qr,0.002,0.1,0.5,0.12957520957118002,False,,,,,,
43006,learned_event_learned_qr,0.002,0.5,0.02,0.19366971358078644,False,,,,,,
43006,learned_event_learned_qr,0.002,0.5,0.1,0.10503852868160225,False,,,,,,
43006,learned_event_learned_qr,0.002,0.5,0.5,0.11032395330018277,False,,,,,,
43006,learned_event_learned_qr,0.02,0.02,0.02,0.2181006954543159,False,,,,,,
43006,learned_event_learned_qr,0.02,0.02,0.1,0.14514710372395032,False,,,,,,
43006,learned_event_learned_qr,0.02,0.02,0.5,0.16042355783831352,False,,,,,,
43006,learned_event_learned_qr,0.02,0.1,0.02,0.19215533834501167,False,,,,,,
43006,learned_event_learned_qr,0.02,0.1,0.1,0.11807338079846905,False,,,,,,
43006,learned_event_learned_qr,0.02,0.1,0.5,0.12867156590528714,False,,,,,,
43006,learned_event_learned_qr,0.02,0.5,0.02,0.18831431514452154,False,,,,,,
43006,learned_event_learned_qr,0.02,0.5,0.1,0.10252322032531087,True,,,,,,
43006,learned_event_learned_qr,0.02,0.5,0.5,0.10962059604119868,False,,,,,,
43006,learned_event_learned_qr,0.1,0.02,0.02,0.22048198617511883,False,,,,,,
43006,learned_event_learned_qr,0.1,0.02,0.1,0.15474377684278007,False,,,,,,
43006,learned_event_learned_qr,0.1,0.02,0.5,0.17196404235066431,False,,,,,,
43006,learned_event_learned_qr,0.1,0.1,0.02,0.19653741634255548,False,,,,,,
43006,learned_event_learned_qr,0.1,0.1,0.1,0.1264292215477773,False,,,,,,
43006,learned_event_learned_qr,0.1,0.1,0.5,0.1377222411507721,False,,,,,,
43006,learned_event_learned_qr,0.1,0.5,0.02,0.1976148485427108,False,,,,,,
43006,learned_event_learned_qr,0.1,0.5,0.1,0.11163207761930247,False,,,,,,
43006,learned_event_learned_qr,0.1,0.5,0.5,0.11827365870771563,False,,,,,,
43006,selected_fixed_jump,,,,0.7778640900923016,False,0.0025,0.01,,,,
43006,selected_fixed_jump,,,,0.3462547484435544,False,0.0025,0.04,,,,
43006,selected_fixed_jump,,,,0.46265034796951127,False,0.0025,0.16,,,,
43006,selected_fixed_jump,,,,0.4504459680920197,False,0.02,0.01,,,,
43006,selected_fixed_jump,,,,0.2790830629845827,True,0.02,0.04,,,,
43006,selected_fixed_jump,,,,0.4619704929940423,False,0.02,0.16,,,,
43006,selected_fixed_jump,,,,0.37432012426859645,False,0.04,0.01,,,,
43006,selected_fixed_jump,,,,0.3062920685839823,False,0.04,0.04,,,,
43006,selected_fixed_jump,,,,0.5006521690198489,False,0.04,0.16,,,,
43006,h_plus_total_variance,0.002,,,0.13914331282107067,False,,,0.95,1.0,0.1,
43006,h_plus_total_variance,0.02,,,0.13672148748662405,False,,,0.95,1.0,0.1,
43006,h_plus_total_variance,0.1,,,0.1425987998389879,False,,,0.95,1.0,0.1,
43006,h_plus_total_variance,0.002,,,0.13628396277109622,False,,,0.95,1.0,0.5,
43006,h_plus_total_variance,0.02,,,0.1339908710751656,False,,,0.95,1.0,0.5,
43006,h_plus_total_variance,0.1,,,0.14010938265360337,False,,,0.95,1.0,0.5,
43006,h_plus_total_variance,0.002,,,0.1840005410867327,False,,,0.95,1.0,0.9,
43006,h_plus_total_variance,0.02,,,0.18167379851715215,False,,,0.95,1.0,0.9,
43006,h_plus_total_variance,0.1,,,0.1898722344847918,False,,,0.95,1.0,0.9,
43006,h_plus_total_variance,0.002,,,0.13874258564365202,False,,,0.95,4.0,0.1,
43006,h_plus_total_variance,0.02,,,0.13631650252733715,False,,,0.95,4.0,0.1,
43006,h_plus_total_variance,0.1,,,0.14220282650781757,False,,,0.95,4.0,0.1,
43006,h_plus_total_variance,0.002,,,0.13627616239943557,False,,,0.95,4.0,0.5,
43006,h_plus_total_variance,0.02,,,0.13397600795506376,True,,,0.95,4.0,0.5,
43006,h_plus_total_variance,0.1,,,0.14011385009752836,False,,,0.95,4.0,0.5,
43006,h_plus_total_variance,0.002,,,0.1841002372475834,False,,,0.95,4.0,0.9,
43006,h_plus_total_variance,0.02,,,0.18176205465377346,False,,,0.95,4.0,0.9,
43006,h_plus_total_variance,0.1,,,0.1899841180491273,False,,,0.95,4.0,0.9,
43006,h_plus_total_variance,0.002,,,0.1388699445367612,False,,,0.95,16.0,0.1,
43006,h_plus_total_variance,0.02,,,0.1364270705108421,False,,,0.95,16.0,0.1,
43006,h_plus_total_variance,0.1,,,0.1422590257846591,False,,,0.95,16.0,0.1,
43006,h_plus_total_variance,0.002,,,0.13703267812974718,False,,,0.95,16.0,0.5,
43006,h_plus_total_variance,0.02,,,0.13470513445360754,False,,,0.95,16.0,0.5,
43006,h_plus_total_variance,0.1,,,0.1409119555211287,False,,,0.95,16.0,0.5,
43006,h_plus_total_variance,0.002,,,0.18510131969833926,False,,,0.95,16.0,0.9,
43006,h_plus_total_variance,0.02,,,0.18271686090942865,False,,,0.95,16.0,0.9,
43006,h_plus_total_variance,0.1,,,0.19103086206735823,False,,,0.95,16.0,0.9,
43006,h_plus_total_variance,0.002,,,0.22458516152842412,False,,,0.99,1.0,0.1,
43006,h_plus_total_variance,0.02,,,0.22176725080089812,False,,,0.99,1.0,0.1,
43006,h_plus_total_variance,0.1,,,0.22717608281784166,False,,,0.99,1.0,0.1,
43006,h_plus_total_variance,0.002,,,0.23485340501683538,False,,,0.99,1.0,0.5,
43006,h_plus_total_variance,0.02,,,0.2328356562147327,False,,,0.99,1.0,0.5,
43006,h_plus_total_variance,0.1,,,0.2335161181891909,False,,,0.99,1.0,0.5,
43006,h_plus_total_variance,0.002,,,0.2856520550575309,False,,,0.99,1.0,0.9,
43006,h_plus_total_variance,0.02,,,0.2820519677037843,False,,,0.99,1.0,0.9,
43006,h_plus_total_variance,0.1,,,0.2836158945888002,False,,,0.99,1.0,0.9,
43006,h_plus_total_variance,0.002,,,0.2240915880789849,False,,,0.99,4.0,0.1,
43006,h_plus_total_variance,0.02,,,0.22127458585854815,False,,,0.99,4.0,0.1,
43006,h_plus_total_variance,0.1,,,0.22674397744295638,False,,,0.99,4.0,0.1,
43006,h_plus_total_variance,0.002,,,0.23499869700650267,False,,,0.99,4.0,0.5,
43006,h_plus_total_variance,0.02,,,0.2329799434885781,False,,,0.99,4.0,0.5,
43006,h_plus_total_variance,0.1,,,0.2337203935912863,False,,,0.99,4.0,0.5,
43006,h_plus_total_variance,0.002,,,0.285945160102228,False,,,0.99,4.0,0.9,
43006,h_plus_total_variance,0.02,,,0.28230075279821487,False,,,0.99,4.0,0.9,
43006,h_plus_total_variance,0.1,,,0.28393953349626183,False,,,0.99,4.0,0.9,
43006,h_plus_total_variance,0.002,,,0.22415472120633614,False,,,0.99,16.0,0.1,
43006,h_plus_total_variance,0.02,,,0.22135246490241853,False,,,0.99,16.0,0.1,
43006,h_plus_total_variance,0.1,,,0.2269007234478637,False,,,0.99,16.0,0.1,
43006,h_plus_total_variance,0.002,,,0.23635398461621593,False,,,0.99,16.0,0.5,
43006,h_plus_total_variance,0.02,,,0.2342841967714352,False,,,0.99,16.0,0.5,
43006,h_plus_total_variance,0.1,,,0.2352388398078659,False,,,0.99,16.0,0.5,
43006,h_plus_total_variance,0.002,,,0.2876480405993485,False,,,0.99,16.0,0.9,
43006,h_plus_total_variance,0.02,,,0.2837118386872419,False,,,0.99,16.0,0.9,
43006,h_plus_total_variance,0.1,,,0.2856045428476894,False,,,0.99,16.0,0.9,
43006,h_plus_total_variance,0.002,,,0.30369926117783197,False,,,1.0,1.0,0.1,
43006,h_plus_total_variance,0.02,,,0.29434595161022353,False,,,1.0,1.0,0.1,
43006,h_plus_total_variance,0.1,,,0.3042849523116127,False,,,1.0,1.0,0.1,
