participant_id,fold,method,candidate_id,block_id,true_process_variance,true_observation_variance,conditional_update_nll,conditional_update_mse
2,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.6711696265124236,2.488168799085714
2,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.6968773954920553,4.065169307689795
2,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.1726050245137367,33.247892768391836
2,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.13986009882113,31.23920953678368
8,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7037080773144715,4.484186170514285
8,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.1573874908258173,32.3143983689143
8,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.199025892061723,34.86863712757551
8,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.286029948521656,40.205756867395905
15,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7123278452591664,5.012951558269388
15,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.845313207923001,13.170718368914285
15,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.3255851117652804,42.632202841861236
15,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.3740664050529197,45.606207479640815
16,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.809765247649562,10.990087623575512
16,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.856635765261636,13.865281895444898
16,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.4630173210113995,51.06275409084082
16,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.4451882927092843,49.96906187964081
22,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.047419478092828,25.568592766432655
22,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.8409614809130654,12.903768883199998
22,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.0253403742616594,24.214186711248978
22,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.0041772061938574,22.915967218416323
25,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7826835786360014,9.328807492963264
25,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.8713421493761944,14.7674206709551
25,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.7703608778218665,8.572891821453062
25,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.315330840068144,42.00317152862041
34,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.71439054604473,5.139484521534694
34,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.0468143895799775,25.53147461381225
34,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.0174489630388277,23.73010116022857
34,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.1994898766877498,34.89709949596734
39,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7973242811902344,10.226917141942856
39,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.9699603379292707,20.816990107689797
39,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.8611902825901194,14.144671217371428
39,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.1411242303869944,31.316755593926523
48,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.075460087666977,27.28869751745306
48,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.0714614121255934,27.04340538932245
48,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.2555082865494316,38.33345606635102
48,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,4.15985603033239,93.80917054902858
49,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.4443270831762787,49.91623240724898
49,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,3.108173776190627,29.295464556669387
49,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,4.261840579817095,100.06524382145308
49,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.8412478289323944,74.26467814086531
54,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.814946102157004,11.30789856235102
54,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.828235082424078,12.123089046465306
54,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.137736326176118,31.10893022145307
54,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,3.3228813919279916,42.46634762657959
57,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.739764630758634,6.6960157215346925
57,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.844757912573779,13.136654695444896
57,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,3.301747185203961,41.169904719412244
57,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,2.847248969009346,13.289464426579588
62,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,3.2452437187907726,37.703793158269384
62,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,5.089171981126181,150.81651833626123
62,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,4.305153600022814,102.72220930716735
62,0,fixed_gain,fixed_gain:8b88e33eda90,3,49.0,64.0,4.231239792550073,98.18808921025307
64,0,fixed_gain,fixed_gain:8b88e33eda90,0,4.0,16.0,2.7321808974466295,6.23080416235102
64,0,fixed_gain,fixed_gain:8b88e33eda90,1,49.0,16.0,2.8845507520382228,15.577680524016328
64,0,fixed_gain,fixed_gain:8b88e33eda90,2,4.0,64.0,2.8661420522156082,14.448429323493876
