seed,condition,panel,source_video_id,n_frames,accuracy,nll,post_switch_nll
13800,posterior_ema,qualification_hidden,c21_clip027_video067,24,0.75,1.069804567461803,
13800,posterior_ema,qualification_hidden,c38_clip024_video014,24,0.9166666666666666,1.16903525702788,1.5709006994072492
13800,posterior_ema,qualification_hidden,c46_clip013_video010,24,1.0,0.2106985165087019,0.274321047884215
13800,posterior_ema,qualification_hidden,c37_clip013_video007,24,1.0,0.07618448544057059,0.12548930978804135
13800,posterior_ema,qualification_hidden,c50_clip003_video022,24,1.0,0.08788001456716264,0.13913297160337343
13800,posterior_ema,qualification_hidden,c26_clip011_video014,24,0.9583333333333334,0.7923378322478865,0.8938910118200273
13800,posterior_ema,qualification_hidden,c03_clip015_video008,24,0.08333333333333333,1.6952078351370952,
13800,posterior_ema,qualification_hidden,c06_clip004_video176,24,1.0,0.239435836308501,0.31640497698247133
13800,posterior_ema,qualification_hidden,c42_clip017_video028,24,1.0,0.07623629354420575,0.12313598606526911
13800,posterior_ema,qualification_hidden,c18_clip013_video006,24,1.0,0.06259249323521801,0.11253214401009859
13800,posterior_ema,qualification_hidden,c17_clip007_video117,24,0.875,0.7748654669029861,1.1163310507030975
13800,posterior_ema,qualification_hidden,c00_clip011_video045,24,1.0,0.16338248478598053,0.20674793420395077
13800,posterior_ema,qualification_hidden,c46_clip008_video011,24,1.0,0.45470789379142856,
13800,posterior_ema,qualification_hidden,c13_clip003_video021,24,1.0,0.40875529367734614,0.41443232800672924
13800,posterior_ema,qualification_hidden,c19_clip032_video081,24,1.0,0.06836973611887126,0.12285904035991264
13800,posterior_ema,qualification_hidden,c23_clip023_video020,24,0.9583333333333334,0.13545719157355843,0.21756978485428766
13800,posterior_ema,qualification_hidden,c12_clip004_video103,24,0.9583333333333334,0.14357940809082056,0.21629679321679232
13800,posterior_ema,qualification_hidden,c44_clip014_video022,24,0.9166666666666666,0.5563149264834889,0.6496899300836302
13800,posterior_ema,qualification_hidden,c27_clip001_video010,24,0.7916666666666666,1.4773206949299587,
13800,posterior_ema,qualification_hidden,c02_clip022_video152,24,0.9583333333333334,0.387156496744765,0.568844005092857
13800,posterior_ema,qualification_hidden,c15_clip008_video043,24,1.0,0.21962237589251896,0.27925907852946713
13800,posterior_ema,qualification_hidden,c33_clip017_video083,24,1.0,0.19977659703539308,0.3316990509565692
13800,posterior_ema,qualification_hidden,c40_clip006_video005,24,0.5416666666666666,0.8991400283184241,0.9715302820326723
13800,posterior_ema,qualification_hidden,c29_clip003_video016,24,0.20833333333333334,2.747752335031102,2.9484051225717547
13800,posterior_ema,qualification_hidden,c47_clip014_video024,24,0.0,1.8397649283928867,
13800,posterior_ema,qualification_hidden,c15_clip003_video065,24,1.0,0.05178118970578191,0.103517060629309
13800,posterior_ema,qualification_hidden,c41_clip013_video009,24,0.9583333333333334,0.15492477285630088,0.1860507460815171
13800,posterior_ema,qualification_hidden,c01_clip023_video198,24,0.7916666666666666,0.8066447778190765,0.7534684827647897
13800,posterior_ema,qualification_hidden,c46_clip015_video022,24,1.0,0.19275842000780383,0.24198672742343932
13800,posterior_ema,qualification_hidden,c30_clip024_video032,24,0.0,3.7090927124643343,3.895751789048903
13800,posterior_ema,qualification_hidden,c24_clip011_video039,24,0.75,0.7383932342268893,
13800,posterior_ema,qualification_hidden,c13_clip000_video112,24,0.9583333333333334,0.6150639504578862,0.8123248437498461
13800,posterior_ema,qualification_hidden,c24_clip006_video043,24,0.9166666666666666,0.6889782868020724,0.4564465542450246
13800,posterior_ema,qualification_hidden,c47_clip005_video005,24,0.041666666666666664,2.0506720040680655,2.0781513865324377
13800,posterior_ema,qualification_hidden,c39_clip006_video025,24,0.9166666666666666,0.5651242585755346,0.8848418628046294
