seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39102,fixed,ema,0.02,1.2673698329868166,1.9139155268552799,,,,False
39102,fixed,ema,0.05,0.7482457280879636,1.5463616603489825,,,,False
39102,fixed,ema,0.1,0.49744545147333064,1.291434505968659,,,,False
39102,fixed,ema,0.2,0.3316290523284464,1.057840077229543,,,,False
39102,fixed,ema,0.4,0.23627776164396272,0.8543809024681247,,,,False
39102,fixed,ema,0.7,0.21112441271945323,0.7486407091091757,,,,False
39102,fixed,window,2,0.22354641523888086,0.7876036795260349,,,,False
39102,fixed,window,4,0.26764187712160753,0.9417319523013061,,,,False
39102,fixed,window,8,0.3786764423507831,1.1454969685585341,,,,False
39102,fixed,window,16,0.5896520114437734,1.356662055606592,,,,False
39102,fixed,window,32,0.8750936864860672,1.6004830478418721,,,,False
39102,fixed,window,64,1.2876139419440722,1.8582278400715915,,,,False
39102,fixed,fixed_jump,0.0025:0.0025:0.01,,0.848088111733665,0.0025,0.0025,0.01,False
39102,fixed,fixed_jump,0.0025:0.0025:0.04,,0.3645087942306085,0.0025,0.0025,0.04,False
39102,fixed,fixed_jump,0.0025:0.0025:0.16,,0.47160680151990936,0.0025,0.0025,0.16,False
39102,fixed,fixed_jump,0.0025:0.01:0.01,,0.6170912137760612,0.0025,0.01,0.01,False
39102,fixed,fixed_jump,0.0025:0.01:0.04,,0.2915511852037986,0.0025,0.01,0.04,False
39102,fixed,fixed_jump,0.0025:0.01:0.16,,0.4546279267380304,0.0025,0.01,0.16,False
39102,fixed,fixed_jump,0.0025:0.04:0.01,,0.4062111593716404,0.0025,0.04,0.01,False
39102,fixed,fixed_jump,0.0025:0.04:0.04,,0.3125311736205005,0.0025,0.04,0.04,False
39102,fixed,fixed_jump,0.0025:0.04:0.16,,0.5092181384853728,0.0025,0.04,0.16,False
39102,fixed,fixed_jump,0.01:0.0025:0.01,,0.7081158455656759,0.01,0.0025,0.01,False
39102,fixed,fixed_jump,0.01:0.0025:0.04,,0.3236988020431369,0.01,0.0025,0.04,False
39102,fixed,fixed_jump,0.01:0.0025:0.16,,0.4482458174829687,0.01,0.0025,0.16,False
39102,fixed,fixed_jump,0.01:0.01:0.01,,0.52898078542864,0.01,0.01,0.01,False
39102,fixed,fixed_jump,0.01:0.01:0.04,,0.27127700808924365,0.01,0.01,0.04,False
39102,fixed,fixed_jump,0.01:0.01:0.16,,0.441348171589459,0.01,0.01,0.16,False
39102,fixed,fixed_jump,0.01:0.04:0.01,,0.370158440346769,0.01,0.04,0.01,False
39102,fixed,fixed_jump,0.01:0.04:0.04,,0.29995903084169234,0.01,0.04,0.04,False
39102,fixed,fixed_jump,0.01:0.04:0.16,,0.49929902278690386,0.01,0.04,0.16,False
39102,fixed,fixed_jump,0.03:0.0025:0.01,,0.5972925880430502,0.03,0.0025,0.01,False
39102,fixed,fixed_jump,0.03:0.0025:0.04,,0.2943899459955617,0.03,0.0025,0.04,False
39102,fixed,fixed_jump,0.03:0.0025:0.16,,0.4423684276008517,0.03,0.0025,0.16,False
39102,fixed,fixed_jump,0.03:0.01:0.01,,0.45716183722940124,0.03,0.01,0.01,False
39102,fixed,fixed_jump,0.03:0.01:0.04,,0.2613990926103942,0.03,0.01,0.04,True
39102,fixed,fixed_jump,0.03:0.01:0.16,,0.44362950197332535,0.03,0.01,0.16,False
