analysis_fingerprint,data_fingerprint,dataset_pair,profile,latent_dim,model,nll_per_scalar_mean,nll_per_scalar_std,nll_per_scalar_median,nll_per_scalar_min,nll_per_scalar_max,one_step_r2_mean,one_step_r2_std,one_step_r2_median,one_step_r2_min,one_step_r2_max,rollout_nrmse_mean,rollout_nrmse_std,rollout_nrmse_median,rollout_nrmse_min,rollout_nrmse_max,parameter_count_mean,parameter_count_std,parameter_count_median,parameter_count_min,parameter_count_max,effective_rank_mean,effective_rank_std,effective_rank_median,effective_rank_min,effective_rank_max,top_k_singular_energy_mean,top_k_singular_energy_std,top_k_singular_energy_median,top_k_singular_energy_min,top_k_singular_energy_max,subspace_angle_degrees_mean,subspace_angle_degrees_std,subspace_angle_degrees_median,subspace_angle_degrees_min,subspace_angle_degrees_max,n_computational_seeds
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,common,-0.2417782816711871,0.013820528275948872,-0.2431886376299926,-0.2697315972147474,-0.21804549002251597,-0.001465045364653964,0.0002969147609029484,-0.0015188672527519501,-0.0019001802912469012,-0.0006786280153126999,1.013199248615336,0.0012419078841496417,1.0129492782087206,1.0100068764749608,1.0148263397030814,514.0,0.0,514.0,514.0,514.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,orthogonal,-0.24033522038385963,0.014007491376829639,-0.24189053262267635,-0.2687777245904058,-0.21628952477287935,-0.0027023051689240183,0.00044435862062019337,-0.00269609457674695,-0.003358422389095467,-0.0014941956156222667,1.0132655622801543,0.0012615800373268866,1.0130264089994772,1.0100756804740862,1.0149674806691706,517.0,0.0,517.0,517.0,517.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,random,-0.24000230720271606,0.01398408844871182,-0.24143015933962694,-0.26807196574138775,-0.21614894284052819,-0.0029984539696473983,0.0003229826049337666,-0.0030102373620180837,-0.0036003205306684334,-0.0023562721222894333,1.0132095611543677,0.0012461767003799022,1.012954935644132,1.0100089268190409,1.0148671277828818,390.0,0.0,390.0,390.0,390.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,separate,-0.2260589022756995,0.01630350382227903,-0.22466064249442874,-0.2556733927496518,-0.19624138504905422,-0.0020676637182352833,0.0003866022966306776,-0.0020470802083464167,-0.0028137092819339334,-0.0014008085550208998,1.0137711326025758,0.0012315576622236035,1.0135080875743951,1.0107642417088776,1.015506753756725,900.0,0.0,900.0,900.0,900.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,64.60420557642274,6.5514980111381895,64.37024402438,54.985550014315265,78.53001869492932,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,shared,-0.24161295079941475,0.013823721352314895,-0.24308170795159295,-0.2695310305757707,-0.217773709145485,-0.002219075287652579,0.0003830809978281208,-0.0022580102365222,-0.0027159189324224998,-0.0013971458126365666,1.0138299959134645,0.0012516027506293288,1.0136166457492357,1.0107027902906356,1.0157751275897309,517.0,0.0,517.0,517.0,517.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,shuffled,-0.24077586971247528,0.013912767618064351,-0.24196389074940977,-0.26876445740868043,-0.21701790810809052,-0.0029510209595570384,0.00030058892113364344,-0.002981582575219067,-0.0034192524608711006,-0.0024344275306735336,1.0135016534925136,0.0012420770898859599,1.013260999917973,1.0103703189030229,1.0152903950134993,517.0,0.0,517.0,517.0,517.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,2,common,-0.2413077460718082,0.013858764737782152,-0.24292793001970858,-0.26972144141535465,-0.21737940031297068,-0.0010539350252572488,0.0004743053996071283,-0.0012191828300194,-0.0016814928333204668,0.0003204045200473333,1.0131990717517296,0.001242003679934594,1.0129490002834793,1.0100066971614512,1.0148264142066787,645.0,0.0,645.0,645.0,645.0,1.8781049032426425,0.07827066104984863,1.8852724600631894,1.6852564682424571,1.9786792145530814,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,2,orthogonal,-0.23941167228939345,0.01404547637552644,-0.24069814223291522,-0.2673687044289927,-0.21490057755030986,-0.0028206878293724484,0.000335617357166791,-0.0028128749030321997,-0.0033416168024293,-0.002054552913274167,1.0132551977102202,0.0012306443345865246,1.0130211102753295,1.0101213189959009,1.0148839901211164,653.0,0.0,653.0,653.0,653.0,1.8206481831641537,0.0828255841156331,1.8449390400596433,1.6670410003485803,1.9517209657995265,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,2,random,-0.2391387678552205,0.013934922494925452,-0.24049150222411447,-0.26702875164718975,-0.2153069616447966,-0.002996794599040715,0.0003290249523134657,-0.0030148875488894,-0.003633553505581267,-0.0023645855483264,1.0132170481200176,0.0012463415996566245,1.012974132488384,1.010017763804835,1.0148547468325695,400.0,0.0,400.0,400.0,400.0,1.7331271082278832,0.06985481639253527,1.7385908791142384,1.5815947995088981,1.8450723375956377,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,2,separate,-0.2257979625604174,0.016320269387020966,-0.22447774874746007,-0.2557533004220626,-0.19585178423191887,-0.0017671158688030452,0.00047561847022555004,-0.0017797254482058,-0.0026446214578686664,-0.0007632029392434001,1.0137708840937005,0.0012315635597237862,1.0135082863756149,1.0107641365283844,1.0155065151159246,1162.0,0.0,1162.0,1162.0,1162.0,1.6917273597516775,0.11547693635789757,1.6780098940606867,1.4851219680253729,1.8517701980563708,1.0,0.0,1.0,1.0,1.0,84.96819223353467,3.9120728510320344,85.93932486345687,73.43775729849773,89.20581602839154,20
